Viloyat,Tuman,Kvartal,Dom raqami,Lat,Lon
Toshkent shahri,Sergeli tumani,Sergeli-1,1,41.20794,69.215453
Toshkent shahri,Sergeli tumani,Sergeli-1,2,41.206637,69.214752
Toshkent shahri,Sergeli tumani,Sergeli-1,3,41.20547,69.213666
Toshkent shahri,Sergeli tumani,Sergeli-1,4,41.20372,69.214384
Toshkent shahri,Sergeli tumani,Sergeli-1,5,41.206149,69.21327
Toshkent shahri,Sergeli tumani,Sergeli-1,6,41.206467,69.214052
Toshkent shahri,Sergeli tumani,Sergeli-1,7,41.205877,69.213621
Toshkent shahri,Sergeli tumani,Sergeli-1,8,41.206149,69.214564
Toshkent shahri,Sergeli tumani,Sergeli-1,9,41.205219,69.214088
Toshkent shahri,Sergeli tumani,Sergeli-1,10,41.2049,69.214312
Toshkent shahri,Sergeli tumani,Sergeli-1,11,41.205002,69.216594
Toshkent shahri,Sergeli tumani,Sergeli-1,12,41.208245,69.215759
Toshkent shahri,Sergeli tumani,Sergeli-1,13,41.207505,69.214788
Toshkent shahri,Sergeli tumani,Sergeli-1,14,41.205823,69.214806
Toshkent shahri,Sergeli tumani,Sergeli-1,15,41.204744,69.21363
Toshkent shahri,Sergeli tumani,Sergeli-1,16,41.204378,69.215651
Toshkent shahri,Sergeli tumani,Sergeli-1,17,41.204534,69.216073
Toshkent shahri,Sergeli tumani,Sergeli-1,18,41.207594,69.215624
Toshkent shahri,Sergeli tumani,Sergeli-1,19,41.206603,69.212291
Toshkent shahri,Sergeli tumani,Sergeli-1,20,41.205511,69.213082
Toshkent shahri,Sergeli tumani,Sergeli-1,21,41.205226,69.215031
Toshkent shahri,Sergeli tumani,Sergeli-1,22,41.204568,69.214546
Toshkent shahri,Sergeli tumani,Sergeli-1,23,41.204262,69.214761
Toshkent shahri,Sergeli tumani,Sergeli-1,24,41.206182,69.217268
Toshkent shahri,Sergeli tumani,Sergeli-1,25,41.20585,69.217501
Toshkent shahri,Sergeli tumani,Sergeli-1,26,41.205477,69.217573
Toshkent shahri,Sergeli tumani,Sergeli-1,27,41.205131,69.217816
Toshkent shahri,Sergeli tumani,Sergeli-1,27A,41.205165,69.218732
Toshkent shahri,Sergeli tumani,Sergeli-1,27B,41.205273,69.219064
Toshkent shahri,Sergeli tumani,Sergeli-1,28,41.208143,69.214896
Toshkent shahri,Sergeli tumani,Sergeli-1,29,41.2068,69.212704
Toshkent shahri,Sergeli tumani,Sergeli-1,30,41.206433,69.216899
Toshkent shahri,Sergeli tumani,Sergeli-1,31,41.203794,69.215193
Toshkent shahri,Sergeli tumani,Sergeli-1,31-Jan,41.204249,69.216819
Toshkent shahri,Sergeli tumani,Sergeli-1,31A,41.203978,69.216199
Toshkent shahri,Sergeli tumani,Sergeli-1,31B,41.203896,69.21601
Toshkent shahri,Sergeli tumani,Sergeli-1,31V,41.203849,69.215866
Toshkent shahri,Sergeli tumani,Sergeli-1,32,41.204514,69.216944
Toshkent shahri,Sergeli tumani,Sergeli-1,32B,41.204201,69.216783
Toshkent shahri,Sergeli tumani,Sergeli-1,34,41.206664,69.213531
Toshkent shahri,Sergeli tumani,Sergeli-1,35,41.207227,69.216307
Toshkent shahri,Sergeli tumani,Sergeli-1,35A,41.206386,69.21566
Toshkent shahri,Sergeli tumani,Sergeli-1,36,41.205599,69.216468
Toshkent shahri,Sergeli tumani,Sergeli-1,52,41.206196,69.218337
Toshkent shahri,Sergeli tumani,Sergeli-1,53,41.206508,69.218103
Toshkent shahri,Sergeli tumani,Sergeli-1,54,41.205891,69.218588
Toshkent shahri,Sergeli tumani,Sergeli-1,55,41.205572,69.218813
Toshkent shahri,Sergeli tumani,Sergeli-1,57,41.204982,69.218112
Toshkent shahri,Sergeli tumani,Sergeli-2,1,41.212369,69.229
Toshkent shahri,Sergeli tumani,Sergeli-2,1B,41.211928,69.229422
Toshkent shahri,Sergeli tumani,Sergeli-2,2,41.212491,69.227886
Toshkent shahri,Sergeli tumani,Sergeli-2,2A,41.213129,69.22785
Toshkent shahri,Sergeli tumani,Sergeli-2,3,41.212057,69.228191
Toshkent shahri,Sergeli tumani,Sergeli-2,4,41.211759,69.228587
Toshkent shahri,Sergeli tumani,Sergeli-2,5,41.211006,69.228326
Toshkent shahri,Sergeli tumani,Sergeli-2,6,41.211393,69.229
Toshkent shahri,Sergeli tumani,Sergeli-2,7,41.211019,69.229323
Toshkent shahri,Sergeli tumani,Sergeli-2,8,41.210517,69.230509
Toshkent shahri,Sergeli tumani,Sergeli-2,8A,41.209961,69.230805
Toshkent shahri,Sergeli tumani,Sergeli-2,9,41.210619,69.229512
Toshkent shahri,Sergeli tumani,Sergeli-2,10,41.210185,69.228757
Toshkent shahri,Sergeli tumani,Sergeli-2,11,41.210266,69.229754
Toshkent shahri,Sergeli tumani,Sergeli-2,12,41.209853,69.229045
Toshkent shahri,Sergeli tumani,Sergeli-2,13,41.209981,69.23015
Toshkent shahri,Sergeli tumani,Sergeli-2,14,41.20952,69.229296
Toshkent shahri,Sergeli tumani,Sergeli-2,15,41.209507,69.228245
Toshkent shahri,Sergeli tumani,Sergeli-2,16,41.209025,69.227778
Toshkent shahri,Sergeli tumani,Sergeli-2,17,41.208509,69.226907
Toshkent shahri,Sergeli tumani,Sergeli-2,18,41.208509,69.225928
Toshkent shahri,Sergeli tumani,Sergeli-2,18A,41.208489,69.224787
Toshkent shahri,Sergeli tumani,Sergeli-2,19,41.208869,69.226619
Toshkent shahri,Sergeli tumani,Sergeli-2,20,41.209303,69.227392
Toshkent shahri,Sergeli tumani,Sergeli-2,21,41.209181,69.22644
Toshkent shahri,Sergeli tumani,Sergeli-2,22,41.209622,69.22714
Toshkent shahri,Sergeli tumani,Sergeli-2,23,41.209568,69.226323
Toshkent shahri,Sergeli tumani,Sergeli-2,24,41.209914,69.226071
Toshkent shahri,Sergeli tumani,Sergeli-2,25,41.21026,69.225856
Toshkent shahri,Sergeli tumani,Sergeli-2,26,41.210327,69.226601
Toshkent shahri,Sergeli tumani,Sergeli-2,26A,41.21064,69.226269
Toshkent shahri,Sergeli tumani,Sergeli-2,27,41.210097,69.226961
Toshkent shahri,Sergeli tumani,Sergeli-2,28,41.210178,69.227446
Toshkent shahri,Sergeli tumani,Sergeli-2,29,41.210348,69.227868
Toshkent shahri,Sergeli tumani,Sergeli-2,30,41.211345,69.226233
Toshkent shahri,Sergeli tumani,Sergeli-2,30A,41.211135,69.226395
Toshkent shahri,Sergeli tumani,Sergeli-2,31,41.211508,69.226655
Toshkent shahri,Sergeli tumani,Sergeli-2,31A,41.211318,69.226799
Toshkent shahri,Sergeli tumani,Sergeli-2,32,41.211691,69.227059
Toshkent shahri,Sergeli tumani,Sergeli-2,33,41.212057,69.227032
Toshkent shahri,Sergeli tumani,Sergeli-2,34,41.212546,69.226799
Toshkent shahri,Sergeli tumani,Sergeli-2,35,41.212553,69.225703
Toshkent shahri,Sergeli tumani,Sergeli-2,36,41.212112,69.225829
Toshkent shahri,Sergeli tumani,Sergeli-2,37,41.211806,69.226053
Toshkent shahri,Sergeli tumani,Sergeli-2,38,41.211155,69.225424
Toshkent shahri,Sergeli tumani,Sergeli-2,38V,41.210924,69.226026
Toshkent shahri,Sergeli tumani,Sergeli-2,39,41.211677,69.22511
Toshkent shahri,Sergeli tumani,Sergeli-2,40,41.211481,69.22467
Toshkent shahri,Sergeli tumani,Sergeli-2,40G,41.213774,69.225649
Toshkent shahri,Sergeli tumani,Sergeli-2,41,41.211128,69.224005
Toshkent shahri,Sergeli tumani,Sergeli-2,42,41.211393,69.223816
Toshkent shahri,Sergeli tumani,Sergeli-2,43,41.211684,69.22361
Toshkent shahri,Sergeli tumani,Sergeli-2,44,41.210653,69.22317
Toshkent shahri,Sergeli tumani,Sergeli-2,45,41.211277,69.222694
Toshkent shahri,Sergeli tumani,Sergeli-2,46,41.211752,69.222011
Toshkent shahri,Sergeli tumani,Sergeli-2,47,41.212837,69.22387
Toshkent shahri,Sergeli tumani,Sergeli-2,52A,41.207716,69.224733
Toshkent shahri,Sergeli tumani,Sergeli-2,58,41.211413,69.227257
Toshkent shahri,Sergeli tumani,Sergeli-2,64,41.209934,69.219693
Toshkent shahri,Sergeli tumani,Sergeli-2,64A,41.210239,69.22149
Toshkent shahri,Sergeli tumani,Sergeli-2,65,41.212166,69.223026
Toshkent shahri,Sergeli tumani,Sergeli-2,65B,41.212831,69.22467
Toshkent shahri,Sergeli tumani,Sergeli-2,66,41.212498,69.222783
Toshkent shahri,Sergeli tumani,Sergeli-2,67,41.212797,69.222613
Toshkent shahri,Sergeli tumani,Sergeli-2,70,41.211487,69.214582
Toshkent shahri,Sergeli tumani,Sergeli-2,77,41.209839,69.22043
Toshkent shahri,Sergeli tumani,Sergeli-2,79,41.2099,69.220475
Toshkent shahri,Sergeli tumani,Sergeli-3,1,41.214248,69.234839
Toshkent shahri,Sergeli tumani,Sergeli-3,2,41.213278,69.229835
Toshkent shahri,Sergeli tumani,Sergeli-3,3,41.211508,69.233006
Toshkent shahri,Sergeli tumani,Sergeli-3,4,41.21298,69.231021
Toshkent shahri,Sergeli tumani,Sergeli-3,4A,41.213394,69.230599
Toshkent shahri,Sergeli tumani,Sergeli-3,5,41.212878,69.231704
Toshkent shahri,Sergeli tumani,Sergeli-3,6,41.213231,69.231668
Toshkent shahri,Sergeli tumani,Sergeli-3,7,41.213523,69.231973
Toshkent shahri,Sergeli tumani,Sergeli-3,8,41.213604,69.231308
Toshkent shahri,Sergeli tumani,Sergeli-3,10,41.214153,69.231704
Toshkent shahri,Sergeli tumani,Sergeli-3,11,41.214337,69.232135
Toshkent shahri,Sergeli tumani,Sergeli-3,12,41.214513,69.232584
Toshkent shahri,Sergeli tumani,Sergeli-3,13,41.213991,69.232395
Toshkent shahri,Sergeli tumani,Sergeli-3,14,41.21357,69.2328
Toshkent shahri,Sergeli tumani,Sergeli-3,15,41.214126,69.233069
Toshkent shahri,Sergeli tumani,Sergeli-3,16,41.213902,69.233428
Toshkent shahri,Sergeli tumani,Sergeli-3,16A,41.213699,69.233608
Toshkent shahri,Sergeli tumani,Sergeli-3,18,41.214221,69.234156
Toshkent shahri,Sergeli tumani,Sergeli-3,19,41.214655,69.234749
Toshkent shahri,Sergeli tumani,Sergeli-3,19B,41.214486,69.23527
Toshkent shahri,Sergeli tumani,Sergeli-3,20,41.214669,69.233662
Toshkent shahri,Sergeli tumani,Sergeli-3,21,41.215028,69.234542
Toshkent shahri,Sergeli tumani,Sergeli-3,22,41.21494,69.233249
Toshkent shahri,Sergeli tumani,Sergeli-3,23,41.215442,69.234462
Toshkent shahri,Sergeli tumani,Sergeli-3,24,41.215232,69.235369
Toshkent shahri,Sergeli tumani,Sergeli-3,25,41.21378,69.234947
Toshkent shahri,Sergeli tumani,Sergeli-3,26,41.213448,69.235189
Toshkent shahri,Sergeli tumani,Sergeli-3,27,41.214079,69.23589
Toshkent shahri,Sergeli tumani,Sergeli-3,27A,41.21433,69.23624
Toshkent shahri,Sergeli tumani,Sergeli-3,27B,41.214113,69.236303
Toshkent shahri,Sergeli tumani,Sergeli-3,28,41.21374,69.236105
Toshkent shahri,Sergeli tumani,Sergeli-3,28A,41.213618,69.236734
Toshkent shahri,Sergeli tumani,Sergeli-3,28B,41.213916,69.236519
Toshkent shahri,Sergeli tumani,Sergeli-3,29,41.213394,69.236285
Toshkent shahri,Sergeli tumani,Sergeli-3,29A,41.213529,69.236806
Toshkent shahri,Sergeli tumani,Sergeli-3,30,41.212871,69.236303
Toshkent shahri,Sergeli tumani,Sergeli-3,30A,41.212546,69.23633
Toshkent shahri,Sergeli tumani,Sergeli-3,31A,41.212844,69.236869
Toshkent shahri,Sergeli tumani,Sergeli-3,31B,41.212647,69.237147
Toshkent shahri,Sergeli tumani,Sergeli-3,31G,41.21296,69.237956
Toshkent shahri,Sergeli tumani,Sergeli-3,32,41.212051,69.235755
Toshkent shahri,Sergeli tumani,Sergeli-3,33,41.211555,69.234354
Toshkent shahri,Sergeli tumani,Sergeli-3,34,41.211922,69.234192
Toshkent shahri,Sergeli tumani,Sergeli-3,35,41.212247,69.233958
Toshkent shahri,Sergeli tumani,Sergeli-3,38,41.21395,69.234363
Toshkent shahri,Sergeli tumani,Sergeli-3,49,41.211216,69.231677
Toshkent shahri,Sergeli tumani,Sergeli-3a,6,41.219865,69.202859
Toshkent shahri,Sergeli tumani,Sergeli-3a,14,41.218033,69.203946
Toshkent shahri,Sergeli tumani,Sergeli-3a,15,41.218345,69.203739
Toshkent shahri,Sergeli tumani,Sergeli-3a,16,41.218698,69.20364
Toshkent shahri,Sergeli tumani,Sergeli-3a,17,41.218413,69.204368
Toshkent shahri,Sergeli tumani,Sergeli-3a,18,41.219315,69.201808
Toshkent shahri,Sergeli tumani,Sergeli-3a,19,41.218813,69.205266
Toshkent shahri,Sergeli tumani,Sergeli-3a,20,41.219478,69.204494
Toshkent shahri,Sergeli tumani,Sergeli-3a,21,41.21745,69.200352
Toshkent shahri,Sergeli tumani,Sergeli-3a,22,41.219166,69.204952
Toshkent shahri,Sergeli tumani,Sergeli-3a,23,41.21726,69.20214
Toshkent shahri,Sergeli tumani,Sergeli-3a,23A,41.216901,69.202212
Toshkent shahri,Sergeli tumani,Sergeli-3a,24,41.218678,69.204916
Toshkent shahri,Sergeli tumani,Sergeli-3a,24A,41.216636,69.202724
Toshkent shahri,Sergeli tumani,Sergeli-3a,24B,41.21629,69.202787
Toshkent shahri,Sergeli tumani,Sergeli-3a,26,41.218067,69.201862
Toshkent shahri,Sergeli tumani,Sergeli-3a,28,41.218311,69.201233
Toshkent shahri,Sergeli tumani,Sergeli-4,1,41.215422,69.235881
Toshkent shahri,Sergeli tumani,Sergeli-4,1A,41.214927,69.236267
Toshkent shahri,Sergeli tumani,Sergeli-4,2,41.216161,69.23615
Toshkent shahri,Sergeli tumani,Sergeli-4,3,41.215883,69.236635
Toshkent shahri,Sergeli tumani,Sergeli-4,4,41.215537,69.236878
Toshkent shahri,Sergeli tumani,Sergeli-4,5,41.216616,69.237543
Toshkent shahri,Sergeli tumani,Sergeli-4,6,41.216867,69.23872
Toshkent shahri,Sergeli tumani,Sergeli-4,7,41.216304,69.237965
Toshkent shahri,Sergeli tumani,Sergeli-4,8,41.21743,69.240166
Toshkent shahri,Sergeli tumani,Sergeli-4,9,41.21804,69.240974
Toshkent shahri,Sergeli tumani,Sergeli-4,10,41.217626,69.241109
Toshkent shahri,Sergeli tumani,Sergeli-4,11,41.218718,69.242304
Toshkent shahri,Sergeli tumani,Sergeli-4,12,41.218284,69.242439
Toshkent shahri,Sergeli tumani,Sergeli-4,13,41.218495,69.243436
Toshkent shahri,Sergeli tumani,Sergeli-4,14,41.217667,69.24251
Toshkent shahri,Sergeli tumani,Sergeli-4,15,41.217314,69.242816
Toshkent shahri,Sergeli tumani,Sergeli-4,16,41.216731,69.242555
Toshkent shahri,Sergeli tumani,Sergeli-4,17,41.216372,69.243732
Toshkent shahri,Sergeli tumani,Sergeli-4,18,41.216317,69.24269
Toshkent shahri,Sergeli tumani,Sergeli-4,19,41.215978,69.242942
Toshkent shahri,Sergeli tumani,Sergeli-4,19A,41.216283,69.243454
Toshkent shahri,Sergeli tumani,Sergeli-4,20,41.215402,69.242708
Toshkent shahri,Sergeli tumani,Sergeli-4,21,41.215096,69.242987
Toshkent shahri,Sergeli tumani,Sergeli-4,22,41.214357,69.241262
Toshkent shahri,Sergeli tumani,Sergeli-4,23,41.214601,69.240759
Toshkent shahri,Sergeli tumani,Sergeli-4,24,41.214872,69.240408
Toshkent shahri,Sergeli tumani,Sergeli-4,24A,41.2153,69.241684
Toshkent shahri,Sergeli tumani,Sergeli-4,25,41.214649,69.239061
Toshkent shahri,Sergeli tumani,Sergeli-4,26,41.214187,69.239088
Toshkent shahri,Sergeli tumani,Sergeli-4,27,41.213733,69.239546
Toshkent shahri,Sergeli tumani,Sergeli-4,28,41.21359,69.23783
Toshkent shahri,Sergeli tumani,Sergeli-4,29,41.214106,69.237911
Toshkent shahri,Sergeli tumani,Sergeli-4,30,41.214513,69.237561
Toshkent shahri,Sergeli tumani,Sergeli-4,31,41.214906,69.237282
Toshkent shahri,Sergeli tumani,Sergeli-4,31V,41.213122,69.237651
Toshkent shahri,Sergeli tumani,Sergeli-4,31G,41.21296,69.237929
Toshkent shahri,Sergeli tumani,Sergeli-4,32,41.21437,69.236653
Toshkent shahri,Sergeli tumani,Sergeli-4,34,41.216792,69.239591
Toshkent shahri,Sergeli tumani,Sergeli-4,40,41.213699,69.23713
Toshkent shahri,Sergeli tumani,Sergeli-5,1,41.223812,69.209192
Toshkent shahri,Sergeli tumani,Sergeli-5,2,41.223602,69.209533
Toshkent shahri,Sergeli tumani,Sergeli-5,2A,41.223432,69.209021
Toshkent shahri,Sergeli tumani,Sergeli-5,3,41.223636,69.209973
Toshkent shahri,Sergeli tumani,Sergeli-5,4,41.223812,69.210647
Toshkent shahri,Sergeli tumani,Sergeli-5,5,41.223921,69.211078
Toshkent shahri,Sergeli tumani,Sergeli-5,6,41.224063,69.211429
Toshkent shahri,Sergeli tumani,Sergeli-5,6A,41.232181,69.207368
Toshkent shahri,Sergeli tumani,Sergeli-5,7A,41.224375,69.211824
Toshkent shahri,Sergeli tumani,Sergeli-5,8,41.224626,69.211249
Toshkent shahri,Sergeli tumani,Sergeli-5,9,41.224409,69.210692
Toshkent shahri,Sergeli tumani,Sergeli-5,10,41.224239,69.21027
Toshkent shahri,Sergeli tumani,Sergeli-5,11,41.224043,69.210081
Toshkent shahri,Sergeli tumani,Sergeli-5,12,41.22426,69.209255
Toshkent shahri,Sergeli tumani,Sergeli-5,13,41.224585,69.209219
Toshkent shahri,Sergeli tumani,Sergeli-5,14,41.224877,69.209336
Toshkent shahri,Sergeli tumani,Sergeli-5,15,41.225142,69.209614
Toshkent shahri,Sergeli tumani,Sergeli-5,16,41.225284,69.210009
Toshkent shahri,Sergeli tumani,Sergeli-5,17,41.22542,69.210405
Toshkent shahri,Sergeli tumani,Sergeli-5,18,41.225637,69.211132
Toshkent shahri,Sergeli tumani,Sergeli-5,19,41.225311,69.211348
Toshkent shahri,Sergeli tumani,Sergeli-5,20,41.225033,69.211348
Toshkent shahri,Sergeli tumani,Sergeli-5,20A,41.229455,69.205985
Toshkent shahri,Sergeli tumani,Sergeli-5,21,41.224972,69.2108
Toshkent shahri,Sergeli tumani,Sergeli-5,22,41.224924,69.210414
Toshkent shahri,Sergeli tumani,Sergeli-5,23,41.224796,69.210099
Toshkent shahri,Sergeli tumani,Sergeli-5,24,41.225379,69.208563
Toshkent shahri,Sergeli tumani,Sergeli-5,24V,41.229591,69.207252
Toshkent shahri,Sergeli tumani,Sergeli-5,25,41.225047,69.208599
Toshkent shahri,Sergeli tumani,Sergeli-5,26,41.224755,69.208491
Toshkent shahri,Sergeli tumani,Sergeli-5,27,41.224497,69.208213
Toshkent shahri,Sergeli tumani,Sergeli-5,28,41.224063,69.208015
Toshkent shahri,Sergeli tumani,Sergeli-5,29,41.223833,69.207746
Toshkent shahri,Sergeli tumani,Sergeli-5,30,41.223805,69.207314
Toshkent shahri,Sergeli tumani,Sergeli-5,31,41.223805,69.207314
Toshkent shahri,Sergeli tumani,Sergeli-5,32,41.223805,69.207314
Toshkent shahri,Sergeli tumani,Sergeli-5,33,41.22445,69.207413
Toshkent shahri,Sergeli tumani,Sergeli-5,33A,41.224701,69.20727
Toshkent shahri,Sergeli tumani,Sergeli-5,34,41.224762,69.207539
Toshkent shahri,Sergeli tumani,Sergeli-5,35,41.224924,69.207907
Toshkent shahri,Sergeli tumani,Sergeli-5,36,41.225114,69.208087
Toshkent shahri,Sergeli tumani,Sergeli-5,37,41.225548,69.207782
Toshkent shahri,Sergeli tumani,Sergeli-5,38,41.225359,69.207584
Toshkent shahri,Sergeli tumani,Sergeli-5,39A,41.224979,69.207243
Toshkent shahri,Sergeli tumani,Sergeli-5,40,41.224796,69.206838
Toshkent shahri,Sergeli tumani,Sergeli-5,41,41.225047,69.206596
Toshkent shahri,Sergeli tumani,Sergeli-5,42,41.225372,69.206551
Toshkent shahri,Sergeli tumani,Sergeli-5,43,41.225637,69.206829
Toshkent shahri,Sergeli tumani,Sergeli-5,44,41.225637,69.206829
Toshkent shahri,Sergeli tumani,Sergeli-5,45,41.226098,69.20806
