Viloyat,Tuman,Kvartal,Dom raqami,Lat,Lon
Toshkent shahri,Yangihayot tumani,8-hudud,1,41.21648,69.196472
Toshkent shahri,Yangihayot tumani,8-hudud,2,41.216779,69.196732
Toshkent shahri,Yangihayot tumani,8-hudud,3,41.21667,69.19728
Toshkent shahri,Yangihayot tumani,8-hudud,4,41.216466,69.19772
Toshkent shahri,Yangihayot tumani,8-hudud,5,41.216073,69.197918
Toshkent shahri,Yangihayot tumani,8-hudud,6,41.215951,69.198816
Toshkent shahri,Yangihayot tumani,8-hudud,7,41.21646,69.198843
Toshkent shahri,Yangihayot tumani,8-hudud,8,41.216731,69.199059
Toshkent shahri,Yangihayot tumani,8-hudud,9,41.216806,69.199715
Toshkent shahri,Yangihayot tumani,8-hudud,10,41.216331,69.199715
Toshkent shahri,Yangihayot tumani,8-hudud,11,41.216019,69.199454
Toshkent shahri,Yangihayot tumani,8-hudud,12,41.215544,69.199068
Toshkent shahri,Yangihayot tumani,8-hudud,13,41.215537,69.198116
Toshkent shahri,Yangihayot tumani,8-hudud,14,41.215347,69.198538
Toshkent shahri,Yangihayot tumani,8-hudud,16,41.216127,69.196876
Toshkent shahri,Yangihayot tumani,8-hudud,17,41.214744,69.198412
Toshkent shahri,Yangihayot tumani,8-hudud,18,41.214445,69.198161
Toshkent shahri,Yangihayot tumani,8-hudud,19,41.215924,69.196211
Toshkent shahri,Yangihayot tumani,8-hudud,20,41.215605,69.19596
Toshkent shahri,Yangihayot tumani,8-hudud,21,41.215286,69.19569
Toshkent shahri,Yangihayot tumani,8-hudud,22,41.213997,69.197433
Toshkent shahri,Yangihayot tumani,8-hudud,23,41.214194,69.197029
Toshkent shahri,Yangihayot tumani,8-hudud,24,41.214608,69.196184
Toshkent shahri,Yangihayot tumani,8-hudud,25,41.214791,69.195762
Toshkent shahri,Yangihayot tumani,8-hudud,26,41.214906,69.195178
Toshkent shahri,Yangihayot tumani,8-hudud,27,41.214601,69.194927
Toshkent shahri,Yangihayot tumani,8-hudud,28,41.214248,69.195322
Toshkent shahri,Yangihayot tumani,8-hudud,29,41.214045,69.195753
Toshkent shahri,Yangihayot tumani,8-hudud,30,41.214106,69.196319
Toshkent shahri,Yangihayot tumani,8-hudud,31,41.213672,69.196571
Toshkent shahri,Yangihayot tumani,8-hudud,32,41.213461,69.197011
Toshkent shahri,Yangihayot tumani,8-hudud,33,41.213604,69.197478
Toshkent shahri,Yangihayot tumani,8-hudud,34,41.21298,69.196993
Toshkent shahri,Yangihayot tumani,8-hudud,35,41.213244,69.196391
Toshkent shahri,Yangihayot tumani,8-hudud,36,41.213509,69.195834
Toshkent shahri,Yangihayot tumani,8-hudud,37,41.213787,69.195286
Toshkent shahri,Yangihayot tumani,8-hudud,38,41.214065,69.194702
Toshkent shahri,Yangihayot tumani,8-hudud,39,41.213767,69.194469
Toshkent shahri,Yangihayot tumani,8-hudud,41,41.212417,69.1934
Toshkent shahri,Yangihayot tumani,8-hudud,42,41.212125,69.193947
Toshkent shahri,Yangihayot tumani,8-hudud,43,41.211874,69.194495
Toshkent shahri,Yangihayot tumani,8-hudud,44,41.211596,69.19507
Toshkent shahri,Yangihayot tumani,8-hudud,45,41.211338,69.195645
Toshkent shahri,Yangihayot tumani,8-hudud,46,41.211121,69.19507
Toshkent shahri,Yangihayot tumani,8-hudud,47,41.211325,69.194648
Toshkent shahri,Yangihayot tumani,8-hudud,48,41.211705,69.193822
Toshkent shahri,Yangihayot tumani,8-hudud,49,41.211881,69.193444
Toshkent shahri,Yangihayot tumani,8-hudud,52,41.211365,69.192977
Toshkent shahri,Yangihayot tumani,8-hudud,53,41.211175,69.193391
Toshkent shahri,Yangihayot tumani,8-hudud,54,41.211311,69.194046
Toshkent shahri,Yangihayot tumani,8-hudud,55,41.210782,69.194217
Toshkent shahri,Yangihayot tumani,8-hudud,56,41.210592,69.19643
Toshkent shahri,Yangihayot tumani,8-hudud,57,41.210741,69.195142
Toshkent shahri,Yangihayot tumani,8-hudud,58,41.209907,69.194477
Toshkent shahri,Yangihayot tumani,8-hudud,59,41.209588,69.194217
Toshkent shahri,Yangihayot tumani,8-hudud,60,41.211169,69.192366
Toshkent shahri,Yangihayot tumani,8-hudud,61,41.210931,69.192151
Toshkent shahri,Yangihayot tumani,8-hudud,62,41.210612,69.19189
Toshkent shahri,Yangihayot tumani,8-hudud,63,41.209832,69.191073
